id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento,fecha_ultima_compra,frecuencia_tickets,frecuencia_lineas,valor_total,dias_desde_ultima_compra,churn
29,Guiomar Escribano Madrigal,55,Masculino,Trujillo,Moche,2022-07-30,Web,Inactivo,2025-04-26,5,19,19323.14,249,1
30,Casandra Cardona-Salom,38,Masculino,Trujillo,Huanchaco,2022-03-16,Tienda,Alto Valor,2025-12-31,13,36,72793.36,0,0
31,Jaime Vazquez Uría,18,Femenino,Piura,Catacaos,2023-02-07,App,Alto Valor,2025-12-20,11,33,42131.61,11,0
32,Fortunato Raimundo Lago Catalá,18,Femenino,Lima,San Isidro,2022-01-08,Tienda,Frecuente,2025-10-21,13,33,16559.33,71,0
33,Nadia del Mora,50,Masculino,Lima,Surco,2022-04-01,Tienda,Inactivo,2025-07-11,6,16,38885.31,173,1
34,Bonifacio Cózar Noriega,44,Femenino,Lima,San Isidro,2022-10-20,App,Inactivo,2025-09-17,14,31,49601.81,105,1
35,Mauricio Jimenez Guerra,52,Masculino,Cusco,Wanchaq,2023-12-11,Web,Ocasional,2025-12-14,3,7,5018.8,17,0
36,Anselma Ríos Rocamora,46,Masculino,Arequipa,,2022-03-08,Tienda,Inactivo,2025-05-31,5,11,17956.85,214,1
37,Elpidio Ferrándiz Madrid,52,Femenino,Trujillo,El Porvenir,2022-12-05,Web,Inactivo,2024-04-23,2,5,814.18,617,1
38,Leonel Borrell,46,Femenino,Lima,Comas,2023-04-17,Web,Alto Valor,2025-12-29,16,34,50440.29,2,0
39,Calixta Blanes Ramirez,28,Otro,Lima,Miraflores,2022-07-31,Web,Alto Valor,2025-12-03,16,46,38337.21,28,0
40,Celia del Plaza,56,Masculino,Trujillo,La Esperanza,2022-06-28,Web,Regular,2025-12-04,7,19,16307.83,27,0
41,Áurea Cabrera,46,Masculino,Piura,Piura,2023-10-22,Tienda,Inactivo,2024-07-02,1,2,682.17,547,1
42,Carmen Berenguer Alcázar,52,Femenino,Trujillo,Trujillo,2022-02-16,Tienda,Inactivo,2024-11-26,4,9,6536.15,400,1
43,José Luis Capdevila-Barba,18,Femenino,Lima,Surco,2022-03-15,App,Alto Valor,2025-12-31,15,45,59781.0,0,0
44,Zacarías del Estevez,34,Masculino,Trujillo,Víctor Larco,2022-09-29,Tienda,Regular,2025-11-22,9,28,10645.81,39,0
45,Jorge José María Sanjuan Pazos,28,Femenino,Lima,Los Olivos,2023-01-31,Tienda,Inactivo,2025-01-30,6,14,3999.76,335,1
46,Alejo Aparicio,24,Femenino,Lima,Comas,2022-11-22,Tienda,Inactivo,2025-06-13,7,17,27032.63,201,1
47,Amada Esparza Tudela,25,Femenino,Trujillo,Moche,2023-06-04,App,Inactivo,2025-06-01,2,5,14326.7,213,1
48,Águeda Peral Sanmiguel,18,Masculino,Trujillo,Huanchaco,2022-04-02,App,Inactivo,2025-07-14,6,16,17250.26,170,1
49,José Luis Juan Pablo Tomé Blanca,34,Masculino,Lima,Comas,2022-01-19,Tienda,Inactivo,2025-06-01,7,17,13322.04,213,1
50,Osvaldo Benavent Alberto,38,Masculino,Lima,La Molina,2022-05-22,App,Inactivo,2024-11-26,5,11,15891.43,400,1
51,Armida Arregui,43,Femenino,Arequipa,Yanahuara,2022-11-05,Tienda,Inactivo,2025-08-21,4,15,18717.43,132,1
52,Cornelio Cañellas Angulo,30,Femenino,Lima,San Miguel,2022-08-08,Web,Inactivo,2025-02-04,12,40,41835.27,330,1
53,Paloma Clarisa Barreda Ros,44,Femenino,Lima,Los Olivos,2022-06-16,Tienda,Alto Valor,2025-12-24,25,61,50673.49,7,0
54,Rosa María Leal Valera,48,Masculino,Trujillo,Víctor Larco,2022-10-07,Tienda,Regular,2025-12-22,7,13,11797.03,9,0
55,Anita Cases Guzman,38,Femenino,Cusco,Santiago,2022-01-04,Tienda,Inactivo,2025-08-30,8,26,49323.06,123,1
56,Reyna Romero Cuesta,57,Femenino,Arequipa,Cayma,2022-08-16,,Inactivo,2024-12-01,3,8,11286.25,395,1
57,Olimpia del Dueñas,29,Femenino,Piura,Catacaos,2022-03-22,App,Inactivo,2025-05-02,5,12,14322.07,243,1
58,Omar Lastra Ortega,37,Masculino,Lima,La Molina,2022-09-23,Web,Alto Valor,2025-12-17,11,38,33800.31,14,0
59,Cosme de Quero,46,Femenino,Trujillo,El Porvenir,2022-07-16,Web,Frecuente,2025-12-21,11,34,31325.75,10,0
60,Juan Luis Bustos Jódar,54,Masculino,Arequipa,Cercado,2022-12-27,Tienda,Regular,2025-12-03,6,13,15989.08,28,0
61,Tristán Conrado Fabregat Salcedo,31,Femenino,Trujillo,Trujillo,2022-12-09,Tienda,Inactivo,2025-04-21,10,25,39874.23,254,1
62,Roxana Alcázar Antón,44,Femenino,Lima,Los Olivos,2022-03-25,Tienda,Regular,2025-12-25,5,18,18210.96,6,0
63,Virgilio Cuéllar Blanch,41,Femenino,Lima,La Molina,2022-07-28,Tienda,Alto Valor,2025-12-21,13,34,42323.37,10,0
64,Matías Ayllón Pinilla,36,Masculino,Trujillo,Trujillo,2022-01-30,Web,Alto Valor,2025-12-24,15,44,40322.43,7,0
65,Virginia Roman Cardona,63,Otro,Lima,Miraflores,2022-03-26,Tienda,Regular,2025-11-23,7,14,17818.16,38,0
66,Silvio Agustín Moreno,50,Femenino,Trujillo,Moche,2022-05-08,Tienda,Regular,2025-12-17,8,18,7720.58,14,0
67,África Guillén Cornejo,18,Masculino,Arequipa,Socabaya,2022-12-24,Web,Alto Valor,2025-11-30,12,32,48964.47,31,0
68,Benigna del Almazán,40,Femenino,Cusco,Cusco,2022-05-09,Web,Inactivo,2025-02-21,7,23,36197.85,313,1
69,Nerea Asenjo Borrás,60,Femenino,Cusco,Santiago,2022-03-08,Tienda,Inactivo,2024-02-18,6,18,32781.4,682,1
70,Hernando Pascual-Salmerón,48,Masculino,Lima,Los Olivos,2023-11-10,App,Inactivo,2024-11-03,2,4,7161.38,423,1
71,Ana Belén Castellanos Roig,31,Masculino,Lima,Ate,2022-08-05,Tienda,Alto Valor,2025-12-24,11,31,49488.29,7,0
72,Odalis Cañizares Ibáñez,42,Femenino,Trujillo,,2022-11-23,App,Alto Valor,2025-11-05,11,36,42688.78,56,0
73,Anunciación Francisco-Cabo,34,Masculino,Piura,Catacaos,2023-03-25,Tienda,Inactivo,2025-04-03,5,13,5418.77,272,1
74,Elpidio Piñol Duran,55,Femenino,Lima,San Isidro,2022-05-16,Web,Inactivo,2025-03-23,4,8,8011.78,283,1
75,Cristóbal Diéguez Nebot,43,Femenino,Lima,San Isidro,2022-04-13,Web,Inactivo,2025-07-02,4,6,4853.13,182,1
76,Primitiva Hidalgo,36,Femenino,Lima,Surco,2023-05-04,Tienda,Regular,2025-12-30,6,12,22518.31,1,0
77,Jordán Cabañas Perez,39,Masculino,Lima,San Miguel,2024-01-01,Tienda,Inactivo,2025-06-29,2,3,8790.24,185,1
78,Cristian Chamorro,27,Femenino,Lima,Los Olivos,2023-01-02,Web,Frecuente,2025-12-27,10,24,29783.19,4,0
79,Eulalia de Arcos,45,Femenino,Lima,Los Olivos,2022-12-12,Web,Alto Valor,2025-12-31,12,27,38158.35,0,0
80,Cesar Mariscal Esteve,18,Femenino,Lima,La Molina,2022-06-23,Tienda,Alto Valor,2025-12-28,12,26,38547.58,3,0
81,Eutropio Cebrián Carvajal Lobo,38,Femenino,Arequipa,Cercado,2022-10-04,Tienda,Inactivo,2025-02-17,5,10,7153.51,317,1
82,Benito de Molins,44,Masculino,Cusco,Santiago,2025-10-06,Tienda,Inactivo,,0,0,0.0,999,1
83,Pastora Suarez Coronado,37,Femenino,Lima,La Molina,2023-01-28,Tienda,Alto Valor,2025-12-31,13,34,47978.35,0,0
84,Adrián Hervás Márquez,26,Masculino,Lima,La Molina,2024-01-14,Web,Inactivo,2025-02-06,3,7,7418.34,328,1
85,Perla Puga Carro,49,Masculino,Lima,Miraflores,2022-05-06,Web,Alto Valor,2025-12-25,13,49,47323.94,6,0
86,Susana Odalis Morata Ferrer,26,Femenino,Lima,Comas,2022-02-26,App,Inactivo,2025-07-31,4,8,4202.08,153,1
87,Marcelino Nicolás Pardo,29,Femenino,Trujillo,Huanchaco,2022-03-01,Tienda,Inactivo,2025-03-23,2,6,2964.78,283,1
88,Benigno Cal Blanca,41,Masculino,Arequipa,Cercado,2022-12-20,App,Inactivo,,0,0,0.0,999,1
89,Hernán Vergara Torrecilla,40,Masculino,Cusco,Cusco,2023-06-18,Tienda,Inactivo,2024-07-20,3,6,2251.17,529,1
90,Leoncio Morillo Lago,55,Masculino,Lima,La Molina,2022-01-06,Tienda,Inactivo,2023-12-16,1,6,6831.1,746,1
91,Balduino Montes Recio,18,Masculino,Lima,,2023-07-11,App,Inactivo,2025-08-11,8,21,30113.27,142,1
92,Casandra Camacho Rocha,38,Femenino,Lima,Los Olivos,2022-01-05,Tienda,Inactivo,2024-07-08,1,2,235.14,541,1
93,Angelino Esteban Cabrero,29,Masculino,Arequipa,Cercado,2022-05-01,App,Inactivo,2025-04-25,5,10,6506.77,250,1
94,Victor Manuel Prado Lara,38,Masculino,Lima,Comas,2023-09-05,App,Regular,2025-10-21,5,10,11824.47,71,0
95,Gabino Félix Jara Bayo,41,Femenino,Lima,San Isidro,2022-12-30,Web,Inactivo,2025-05-15,9,31,43514.12,230,1
96,Eusebia Laura Balaguer Vázquez,52,Femenino,Lima,Miraflores,2023-03-27,App,Inactivo,2025-07-15,2,3,2736.33,169,1
97,Emigdio Andres,34,Masculino,Lima,Los Olivos,2022-09-25,Tienda,Inactivo,2025-08-16,12,28,25885.09,137,1
98,Lupe Constanza Matas Giménez,36,Masculino,Trujillo,Moche,2022-11-24,App,Alto Valor,2025-12-12,13,40,32197.36,19,0
99,Encarnita Baró-Calatayud,38,Masculino,Arequipa,,2022-05-03,Web,Inactivo,,0,0,0.0,999,1
100,Abril Torrijos-Amat,54,Femenino,Lima,Surco,2022-07-27,Web,Inactivo,2025-03-18,4,14,24128.74,288,1
101,Segismundo Jódar Tejero,24,Masculino,Trujillo,Víctor Larco,2022-09-13,Tienda,Alto Valor,2025-12-18,15,43,52300.57,13,0
102,Dorotea de Aragón,39,Masculino,Lima,La Molina,2022-02-12,Tienda,Inactivo,2025-06-18,3,6,16783.0,196,1
103,Teobaldo Albino Luz Barros,50,Femenino,Lima,Miraflores,2022-10-15,Web,Alto Valor,2025-12-11,23,61,65304.98,20,0
104,Ainoa Ocaña,47,Femenino,Lima,Surco,2022-10-24,Tienda,Inactivo,,0,0,0.0,999,1
105,Fortunato de Barón,18,Masculino,Lima,San Isidro,2022-04-22,Tienda,Inactivo,2025-07-26,10,25,18141.75,158,1
106,Aránzazu Porcel-Moles,26,Masculino,Piura,Veintiséis de Octubre,2023-04-16,Web,Inactivo,2023-08-28,1,2,439.39,856,1
107,Amor Arnaiz Huertas,31,Femenino,Cusco,Wanchaq,2022-09-19,Tienda,Regular,2025-11-04,5,15,6472.97,57,0
108,Heraclio Juan José Lledó Cortina,41,Femenino,Cusco,Cusco,2022-08-21,Web,Regular,2025-11-27,5,9,19008.01,34,0
109,Zacarías Franch Merino,35,Masculino,Lima,,2022-04-16,Web,Inactivo,2025-06-27,7,20,18696.44,187,1
110,Remigio Seguí Piña,29,Femenino,Arequipa,Socabaya,2023-02-05,Tienda,Inactivo,2025-07-15,1,5,12271.96,169,1
111,Augusto Germán Castañeda Martínez,31,Masculino,Lima,San Isidro,2023-04-03,Tienda,Inactivo,2024-12-19,3,11,5443.6,377,1
112,Juana Santiago-Alvarado,37,Masculino,Piura,Piura,2022-10-10,Tienda,Regular,2025-10-14,6,14,11799.16,78,0
113,Cristina Guardia Piñol,41,Masculino,Lima,San Miguel,2023-10-16,Tienda,Inactivo,2025-02-02,4,10,6638.2,332,1
114,Florinda Coello Barriga,42,Masculino,Trujillo,Huanchaco,2022-06-17,Tienda,Alto Valor,2025-12-27,13,32,32625.06,4,0
115,Basilio Báez Aller,39,Masculino,Lima,Surco,2023-01-31,Web,Inactivo,2025-06-30,8,19,18627.65,184,1
116,Tatiana del Morales,60,Femenino,Lima,San Miguel,2022-05-20,Tienda,Inactivo,2025-07-26,2,6,15037.9,158,1
117,Alfredo del Albero,48,Masculino,Lima,San Isidro,2022-03-10,Tienda,Frecuente,2025-11-02,14,31,26257.02,59,0
118,Plinio Carballo Ocaña,34,Femenino,Arequipa,Paucarpata,2022-09-23,Tienda,Alto Valor,2025-12-29,12,41,53220.08,2,0
119,Jose Ramón Cabañas,45,Masculino,Lima,Los Olivos,2022-07-26,App,Inactivo,2025-09-09,10,27,33262.69,113,1
120,Atilio Santamaria Cañas,57,Masculino,Lima,San Miguel,2023-04-16,Web,Regular,2025-12-06,6,18,27242.9,25,0
121,Beatriz Solé Domingo,61,Femenino,Trujillo,Trujillo,2022-09-19,Tienda,Alto Valor,2025-12-23,13,40,36194.41,8,0
122,Eutropio Montalbán Luque,51,Femenino,Arequipa,Paucarpata,2023-03-28,Tienda,Inactivo,2024-03-08,4,11,19881.52,663,1
123,Trinidad Barbero-Lobato,27,Masculino,Lima,Miraflores,2022-08-17,Tienda,Inactivo,2024-11-01,1,5,2445.46,425,1
124,Bibiana Higueras Borja,39,Masculino,Lima,Surco,2023-01-11,Web,Alto Valor,2025-12-09,12,36,48730.6,22,0
125,Artemio Ferrández,33,Femenino,Lima,Los Olivos,2023-02-26,Tienda,Inactivo,,0,0,0.0,999,1
126,Ale Adadia-Cortina,29,Masculino,Lima,Comas,2022-08-08,Tienda,Alto Valor,2025-12-22,13,31,48378.42,9,0
127,Edelmira Ledesma Arcos,30,Femenino,Cusco,Cusco,2024-05-22,App,Inactivo,2025-01-02,1,1,45.29,363,1
128,Azahar del Murcia,39,Masculino,Trujillo,Víctor Larco,2022-04-06,Tienda,Frecuente,2025-12-27,13,33,27435.85,4,0
129,Haroldo Arce,56,Otro,Cusco,San Sebastián,2022-06-21,Web,Frecuente,2025-12-20,13,41,29682.55,11,0
130,Tecla Pozo Carpio,59,Femenino,Trujillo,Víctor Larco,2022-04-19,Tienda,Alto Valor,2025-10-20,12,24,34995.79,72,0
131,Chus Larrañaga,54,Masculino,Piura,Piura,2023-03-18,Web,Inactivo,2025-01-24,6,16,18768.91,341,1
132,Paloma Rita Pino Palacios,33,Masculino,Arequipa,Socabaya,2022-12-19,Tienda,Alto Valor,2025-12-28,18,35,40328.37,3,0
133,Natalia Torrens Palomares,30,Femenino,Lima,Surco,2022-11-30,Tienda,Frecuente,2025-11-29,12,32,28442.46,32,0
134,Jeremías Llobet Rocha,26,Femenino,Lima,Surco,2023-03-20,Tienda,Inactivo,2025-05-27,5,11,10844.05,218,1
135,Domingo Íñigo Castell Cantero,38,Masculino,Arequipa,Yanahuara,2022-09-16,App,Regular,2025-12-15,9,21,23106.81,16,0
136,Josep Solé Castellanos,31,Masculino,Lima,Los Olivos,2022-05-16,App,Alto Valor,2025-12-30,20,51,74222.48,1,0
137,Salud Tormo Morales,61,Femenino,Lima,Comas,2022-05-05,Tienda,Regular,2025-12-19,9,27,27384.86,12,0
138,Nilda Arteaga Barragán,35,Masculino,Trujillo,Víctor Larco,2022-06-17,App,Alto Valor,2025-12-15,19,49,54350.45,16,0
139,Sergio Huguet Arcos,51,Masculino,Cusco,Santiago,2022-11-19,Web,Inactivo,2024-05-12,2,6,3793.02,598,1
140,Espiridión Peinado,44,Femenino,Lima,Ate,2023-01-04,App,Inactivo,2024-12-24,4,10,5164.09,372,1
141,Lucio Gilabert-Murcia,41,Femenino,Lima,Ate,2022-04-21,Web,Inactivo,2024-12-27,5,19,18207.36,369,1
142,Martin Salvador Nuñez,49,Masculino,Lima,Comas,2022-02-19,Tienda,Regular,2025-12-25,7,21,24415.49,6,0
143,Jose Luis Solé Salgado,50,Femenino,Lima,Miraflores,2023-01-16,Web,Inactivo,2024-02-11,3,5,2515.0,689,1
144,Manu Lillo,43,Femenino,Lima,San Miguel,2022-04-21,Tienda,Inactivo,2025-02-10,3,8,15520.89,324,1
145,Sabas Alemany-Palomino,23,Femenino,Lima,Miraflores,2022-04-17,App,Inactivo,2025-02-04,1,3,9032.95,330,1
146,Eustaquio Garrido Vilalta,30,Masculino,Trujillo,El Porvenir,2022-06-20,Tienda,Inactivo,2025-03-22,10,32,29495.82,284,1
147,Francisco Quintero Llabrés,57,Femenino,Trujillo,El Porvenir,2022-10-09,Tienda,Inactivo,2025-07-16,9,25,32656.32,168,1
148,Alejandro Fabra Lladó,40,Masculino,Lima,Surco,2022-04-05,Tienda,Regular,2025-12-25,9,29,34512.15,6,0
149,Jonatan Naranjo Cabrera,33,Femenino,Lima,San Miguel,2022-06-06,App,Inactivo,2025-07-27,3,12,9351.53,157,1
150,Carmelo Amores Álvarez,29,Femenino,Lima,Comas,2023-01-09,Web,Alto Valor,2025-12-08,13,39,35668.27,23,0
151,Teodora Rosado Barriga,38,Masculino,Arequipa,Paucarpata,2022-10-27,Tienda,Inactivo,2025-09-13,6,13,7028.93,109,1
152,Tito del Gámez,51,Femenino,Lima,La Molina,2022-06-05,Tienda,Alto Valor,2025-12-19,11,34,40574.41,12,0
153,Sigfrido Gerónimo Manso Rosa,32,Femenino,Trujillo,El Porvenir,2023-07-28,Tienda,Inactivo,2025-01-31,4,15,35104.22,334,1
154,Nico Requena Vallejo,40,Masculino,Piura,Castilla,2022-08-13,App,Inactivo,2025-05-24,4,16,22477.41,221,1
155,Pastora Sedano Castell,29,Masculino,Lima,San Miguel,2022-11-20,Web,Inactivo,2025-07-22,6,22,17125.55,162,1
156,Cristóbal Badía Pereira,39,Masculino,Lima,Surco,2024-04-19,Tienda,Inactivo,2024-12-19,1,3,8938.18,377,1
157,Iker Carbajo Ramírez,38,Masculino,Piura,Catacaos,2022-08-11,Web,Inactivo,2024-12-28,7,17,17441.47,368,1
158,Florinda Nicolau Agudo,47,Masculino,Arequipa,José Luis Bustamante,2022-11-17,Tienda,Inactivo,2024-12-26,5,12,21874.0,370,1
159,Olga Coca Raya,24,Femenino,Piura,Veintiséis de Octubre,2023-05-08,Tienda,Regular,2025-12-16,6,19,14180.27,15,0
160,Águeda Borrell Sabater,39,Masculino,Cusco,Cusco,2022-06-25,Tienda,Frecuente,2025-12-29,15,36,26705.38,2,0
161,Dani Heredia Roldan,34,Femenino,Piura,Castilla,2024-05-31,Tienda,Inactivo,2025-07-13,2,3,1258.27,171,1
162,Narcisa Poza-Palacios,53,Masculino,Trujillo,Huanchaco,2024-10-01,Tienda,Inactivo,2025-06-20,5,13,24884.09,194,1
163,Juan Antonio Puente,28,Femenino,Lima,Ate,2024-05-24,App,Regular,2025-12-17,5,13,54429.74,14,0
164,Leoncio Borja Feijoo Taboada,63,Masculino,Lima,San Miguel,2023-06-14,App,Inactivo,2024-11-05,1,1,608.83,421,1
165,Loreto Muro Garrido,41,Femenino,Lima,San Miguel,2023-01-03,Tienda,Alto Valor,2025-12-06,14,43,35805.81,25,0
166,Teo Bonifacio Valdés Navarrete,45,Femenino,Cusco,Santiago,2022-10-28,Tienda,Inactivo,2025-07-14,6,16,17032.2,170,1
167,Genoveva Arnal Galiano,28,Femenino,Lima,Comas,2022-05-16,Web,Inactivo,2025-07-16,5,11,17537.85,168,1
168,Lázaro Ricart-Arco,19,Femenino,Trujillo,La Esperanza,2022-09-17,Tienda,Inactivo,2025-03-08,4,10,16079.19,298,1
169,Curro Tur Cordero,26,Masculino,Cusco,Cusco,2023-08-21,Web,Inactivo,2025-04-06,3,9,15927.86,269,1
170,Fátima Tecla Benet Gutiérrez,21,Femenino,Lima,San Miguel,2022-01-03,Tienda,Inactivo,2025-06-28,5,16,8704.45,186,1
171,Jose Antonio Millán Torre,55,Femenino,Lima,Ate,2022-07-10,Web,Inactivo,2023-07-13,1,6,2955.52,902,1
172,Vidal Arteaga Jódar,53,Femenino,Lima,San Isidro,2022-06-11,Tienda,Frecuente,2025-12-15,11,26,22596.45,16,0
173,Eduardo Carrasco Vilanova,59,Femenino,Lima,Los Olivos,2022-09-11,Tienda,Inactivo,2023-07-29,2,6,6340.33,886,1
174,Jose Ignacio Ángel-Peral,47,Femenino,Trujillo,Huanchaco,2022-08-31,App,Inactivo,2024-12-05,3,6,5654.59,391,1
175,Mireia Donaire Cerro,48,Masculino,Lima,Los Olivos,2022-07-01,Tienda,Alto Valor,2025-12-24,12,28,50222.97,7,0
176,Eva Expósito,51,Femenino,Arequipa,José Luis Bustamante,2022-06-22,App,Inactivo,2025-05-03,10,27,55272.14,242,1
177,Eva Marisela Vilalta Ferrández,45,Femenino,Cusco,Cusco,2023-02-26,Web,Inactivo,2024-11-19,7,19,15951.57,407,1
178,Buenaventura Pi Garmendia,42,Femenino,Lima,La Molina,2023-06-04,Tienda,Inactivo,2025-08-23,1,4,2517.97,130,1
179,Amancio Niño Cabrera,57,Masculino,Lima,La Molina,2025-10-09,Tienda,Inactivo,,0,0,0.0,999,1
180,Iván Alberdi Chamorro,36,Femenino,Arequipa,Cercado,2022-01-03,Web,Inactivo,2025-06-08,8,19,27260.57,206,1
181,Julieta Olmedo Cid,33,Masculino,Lima,San Miguel,2023-03-01,Tienda,Inactivo,2023-10-09,1,1,2189.16,814,1
182,Wálter Reina Cuéllar,23,Masculino,Lima,Comas,2022-01-02,Tienda,Inactivo,2024-12-04,6,14,14718.8,392,1
183,Elpidio Jáuregui Rivera,34,Femenino,Lima,La Molina,2022-02-11,Tienda,Regular,2025-12-29,8,28,37302.47,2,0
184,Demetrio Lucas Gil,50,Femenino,Arequipa,José Luis Bustamante,2022-05-25,Tienda,Regular,2025-10-19,8,18,9268.0,73,0
185,Patricia Marisa Moll Piña,29,Femenino,Lima,Miraflores,2022-02-08,Tienda,Inactivo,2024-06-25,2,2,1322.99,554,1
186,Domitila Rius Cordero,30,Femenino,Cusco,San Jerónimo,2023-11-07,App,Ocasional,2025-10-18,2,8,1874.81,74,0
187,Geraldo Morata Lucas,36,Masculino,Arequipa,José Luis Bustamante,2022-09-24,Tienda,Frecuente,2025-10-26,17,39,19354.74,66,0
188,Marta del Vallés,47,Femenino,Lima,Miraflores,2022-04-19,Tienda,Inactivo,2025-05-13,4,10,7375.99,232,1
189,Débora Cobo Cazorla,34,Masculino,Cusco,San Sebastián,2023-01-26,Tienda,Inactivo,2025-10-01,4,11,6048.81,91,1
190,Maximiliano del Cabo,25,Femenino,Trujillo,La Esperanza,2023-02-25,Web,Regular,2025-12-26,7,22,17629.46,5,0
191,Nerea Español Muñoz,40,Masculino,Trujillo,El Porvenir,2022-04-15,Web,Inactivo,2025-09-18,1,3,4139.29,104,1
192,Maribel Pinto,43,Masculino,Trujillo,Moche,2023-02-06,Tienda,Inactivo,2024-07-23,4,10,21729.25,526,1
193,África Marín Miranda,46,Femenino,Trujillo,Víctor Larco,2022-06-15,Tienda,Frecuente,2025-12-20,11,31,22123.71,11,0
194,Javier Benito Fuentes,20,Femenino,Trujillo,Víctor Larco,2023-02-25,Tienda,Regular,2025-12-06,6,15,11362.9,25,0
195,Dalila Mendizábal Hurtado,50,Masculino,Cusco,Wanchaq,2022-08-26,Web,Inactivo,2024-07-06,3,6,2473.15,543,1
196,Rosalva Quiroga Guillén,32,Masculino,Piura,Tambogrande,2022-10-01,Tienda,Inactivo,2025-07-15,5,13,16328.05,169,1
197,Petrona Sarmiento Atienza,37,Masculino,Trujillo,La Esperanza,2022-07-31,Tienda,Inactivo,2024-12-08,5,16,18113.46,388,1
198,Ibán Mercader Carranza,36,Femenino,Piura,Tambogrande,2022-02-18,Tienda,Inactivo,2025-07-15,4,15,15729.3,169,1
